,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
2582,Josh Samman,Anqa,12,5,0,"6' 3""",185 lbs.,"79""",Orthodox,14-Mar-88,32,2.08,2.47,0.52,0.34,1.09,0.33,0.33,0.4
2583,Johnny Sampaio,None,3,1,0,"5' 8""",170 lbs.,NA,Orthodox,11-Sep-75,45,1.32,2.64,0.4,0.5,9.89,0.5,0,9.9
2584,Joshua Sampo,The Gremlin,11,5,0,"5' 4""",125 lbs.,"64""",Orthodox,24-Jul-84,36,1.99,2.96,0.36,0.55,1.06,0.33,0.4,2.1
2585,Josh San Diego,JSD,7,3,0,"5' 10""",135 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2586,Diego Sanchez,Nightmare,31,12,0,"5' 10""",170 lbs.,"72""",Southpaw,31-Dec-81,39,2.75,2.99,0.36,0.57,1.46,0.21,0.5,1
2587,Eddie Sanchez,The Manic Hispanic,13,5,0,"6' 2""",230 lbs.,"74""",Orthodox,4-Nov-82,38,3.45,3.3,0.43,0.43,1.13,0.26,0.42,0
2588,Julian Sanchez,None,0,1,0,"6' 3""",300 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
2589,Bobby Sanchez,The Kid,6,17,0,"5' 7""",155 lbs.,NA,Orthodox,NA,0,0,0,0,1,0,0,1,0
2590,Donald Sanchez,None,29,13,0,"5' 10""",145 lbs.,NA,NA,18-Aug-84,36,0.58,1.16,0.5,0.55,0,0,0.5,0
2591,Joby Sanchez,None,11,4,0,"5' 6""",135 lbs.,"68""",Orthodox,24-Jun-91,29,3.2,2.49,0.34,0.65,1.21,0.83,0.43,0.5
2592,Emmanuel Sanchez,El Matador,15,3,0,"5' 9""",145 lbs.,NA,NA,11-Aug-90,30,4.45,4.17,0.35,0.55,0.25,0.06,0.16,0.5
2593,Erick Sanchez,None,8,3,0,"5' 10""",145 lbs.,NA,NA,4-Oct-90,30,0,0,0,0,0,0,0,0
